N° RECETA	BATCH	LITERAL 	FÓRMULA	INGREDIENTE	CANTIDAD	BATERIA	CONTROLADOR	TOLVA
12	250	IAX-24-007	ENGORDA VILLA VERDE	NUCLEO BETAS 	0	B2	C4	M3
12	250	IAX-24-007	ENGORDA VILLA VERDE	NUCLEO SAN CARLOS Y COMPÁS	0	B2	C4	M4
12	250	IAX-24-007	ENGORDA VILLA VERDE	ISOFERM 	0	B2	C5	M1
12	250	IAX-24-007	ENGORDA VILLA VERDE	NA	0	B2	C5	M2
12	250	IAX-24-007	ENGORDA VILLA VERDE	NA	0	B2	C5	M3
12	250	IAX-24-007	ENGORDA VILLA VERDE	NA	0	B2	C5	M4
13	500	IAW-11-006	AMINOACIDOS SELLA	TRIKI TRAKES	0	B1	C1	M1
13	500	IAW-11-006	AMINOACIDOS SELLA	CALCIO	257.2401	B1	C1	M2
13	500	IAW-11-006	AMINOACIDOS SELLA	SAL MOLIDA	0	B1	C1	M3
13	500	IAW-11-006	AMINOACIDOS SELLA	ORTOFOSFATO 21%	0	B1	C1	M4
13	500	IAW-11-006	AMINOACIDOS SELLA	OXIDO MAGNESIO NP	0	B1	C2	M1
13	500	IAW-11-006	AMINOACIDOS SELLA	BICARBONATO SODIO	0	B1	C2	M2
13	500	IAW-11-006	AMINOACIDOS SELLA	CALSEA POWER	0	B1	C2	M3
13	500	IAW-11-006	AMINOACIDOS SELLA	REDMOND (OTO)	0	B1	C2	M4
13	500	IAW-11-006	AMINOACIDOS SELLA	SESQUICARBONATO	0	B2	C3	M1
13	500	IAW-11-006	AMINOACIDOS SELLA	CARRIER 3%	0	B2	C3	M2
13	500	IAW-11-006	AMINOACIDOS SELLA	UREA	0	B2	C3	M3
13	500	IAW-11-006	AMINOACIDOS SELLA	AVAILA DAIRY	0	B2	C3	M4
13	500	IAW-11-006	AMINOACIDOS SELLA	NOTOX REPRODUCTION	0	B2	C4	M1
13	500	IAW-11-006	AMINOACIDOS SELLA	CERTILLUS	0	B2	C4	M2
13	500	IAW-11-006	AMINOACIDOS SELLA	NUCLEO BETAS 	0	B2	C4	M3
13	500	IAW-11-006	AMINOACIDOS SELLA	NUCLEO SAN CARLOS Y COMPÁS	0	B2	C4	M4
13	500	IAW-11-006	AMINOACIDOS SELLA	ISOFERM 	0	B2	C5	M1
13	500	IAW-11-006	AMINOACIDOS SELLA	NA	0	B2	C5	M2
13	500	IAW-11-006	AMINOACIDOS SELLA	NA	0	B2	C5	M3
13	500	IAW-11-006	AMINOACIDOS SELLA	NA	0	B2	C5	M4
14	500	IAX-11-005	AMINOACIDOS VILLA VERDE	TRIKI TRAKES	0	B1	C1	M1
14	500	IAX-11-005	AMINOACIDOS VILLA VERDE	CALCIO	257.2401	B1	C1	M2
14	500	IAX-11-005	AMINOACIDOS VILLA VERDE	SAL MOLIDA	0	B1	C1	M3
14	500	IAX-11-005	AMINOACIDOS VILLA VERDE	ORTOFOSFATO 21%	0	B1	C1	M4
14	500	IAX-11-005	AMINOACIDOS VILLA VERDE	OXIDO MAGNESIO NP	0	B1	C2	M1
14	500	IAX-11-005	AMINOACIDOS VILLA VERDE	BICARBONATO SODIO	0	B1	C2	M2
14	500	IAX-11-005	AMINOACIDOS VILLA VERDE	CALSEA POWER	0	B1	C2	M3
14	500	IAX-11-005	AMINOACIDOS VILLA VERDE	REDMOND (OTO)	0	B1	C2	M4
14	500	IAX-11-005	AMINOACIDOS VILLA VERDE	SESQUICARBONATO	0	B2	C3	M1
14	500	IAX-11-005	AMINOACIDOS VILLA VERDE	CARRIER 3%	0	B2	C3	M2
14	500	IAX-11-005	AMINOACIDOS VILLA VERDE	UREA	0	B2	C3	M3
14	500	IAX-11-005	AMINOACIDOS VILLA VERDE	AVAILA DAIRY	0	B2	C3	M4
